company_id,flight_number,scheduled_departure_date_local,scheduled_departure_station_code,scheduled_arrival_station_code,departure_delay_min,total_pax,checked_bags,transfer_bags,ground_time_stress,transfer_ratio,load_factor,SSR_intensity,difficulty_score,rank,category
UA,1538,2025-08-06,ORD,SAV,-8.0,116,0,31,0.047478218659960464,0.08857142857142858,0.46901085593183695,0.1090595637739402,0.17545094947859258,268.0,Medium
UA,2138,2025-08-08,ORD,LGA,-4.0,167,0,20,0.04616788622181326,0.05714285714285714,0.5155444666951184,0.07400941981762668,0.1718240807895632,374.0,Easy
G7,4481,2025-08-15,ORD,GRR,-4.0,41,0,28,0.07385007162183671,0.08,0.4141689373297003,0.07109048447982609,0.15991535271494128,408.0,Easy
OO,5108,2025-08-14,ORD,SLN,-6.0,47,0,15,0.04843000386530548,0.04285714285714286,0.4795640326975477,0.12193852285510572,0.16952199961928544,393.0,Easy
YX,3568,2025-08-15,ORD,YYZ,-2.0,83,0,15,0.04691961139063298,0.04285714285714286,0.5624551842822315,0.0531595353140011,0.1760358722648337,300.0,Medium
OO,4739,2025-08-03,ORD,GRB,-1.0,61,0,26,0.04770241695277507,0.07428571428571429,0.6321525885558583,0.08763859201634654,0.208448019199495,140.0,Difficult
UA,664,2025-08-02,ORD,LGA,1.0,198,0,29,0.0549078456784592,0.08285714285714287,0.617313942418174,0.06475047359985123,0.20446521974233725,288.0,Difficult
OO,5517,2025-08-04,ORD,PVD,-1.0,78,0,31,0.04793915019453588,0.08857142857142858,0.5266026100674029,0.038570898312841884,0.17588943438063703,337.0,Medium
UA,1156,2025-08-08,ORD,MSY,19.0,215,0,71,0.04602474445133776,0.20285714285714287,0.6218622988750704,0.06356637638797835,0.2327005590460503,52.0,Difficult
G7,4387,2025-08-06,ORD,CID,-15.0,67,0,38,0.047975262044973974,0.10857142857142857,0.6975476839237058,0.04791173602498844,0.22550470394227345,49.0,Difficult
UA,1361,2025-08-11,ORD,STL,20.0,137,0,71,0.0464048164561547,0.20285714285714287,0.5598373772760693,0.05972340523966274,0.216539756018082,80.0,Difficult
UA,2323,2025-08-03,ORD,MCO,-6.0,297,0,27,0.04662790603860465,0.07714285714285714,0.7765667574931882,0.030508597382059643,0.23351749494700463,38.0,Difficult
OO,5229,2025-08-13,ORD,ILM,-5.0,62,0,10,0.046387678101640156,0.02857142857142857,0.4118743725799513,0.04339852612232087,0.1327074589428012,485.0,Easy
YX,3700,2025-08-02,ORD,BNA,15.0,80,0,26,0.044758632404099635,0.07428571428571429,0.5409436397533343,0.01986383997302985,0.171207696225598,461.0,Easy
G7,4610,2025-08-15,ORD,XNA,-3.0,52,0,17,0.04724767513244356,0.04857142857142857,0.5340599455040872,0.052176031307190895,0.1702673523200502,337.0,Easy
UA,1414,2025-08-13,ORD,BOI,-5.0,158,0,41,0.04625614025028595,0.11714285714285715,0.5413260672116258,0.07611417817361693,0.1937169087984299,203.0,Medium
UA,1156,2025-08-13,ORD,MSY,1.0,72,0,22,0.046283784881133744,0.06285714285714286,0.18650388930327436,0.19427409080838098,0.11508021166612063,507.0,Easy
UA,247,2025-08-13,ORD,OMA,-7.0,114,0,34,0.04654282531092973,0.09714285714285714,0.38147138964577665,0.12652689246521295,0.15892178778347996,426.0,Easy
UA,2378,2025-08-08,ORD,LAX,8.0,238,0,106,0.046202502400230015,0.3028571428571429,0.6158038147138964,0.03268296275526468,0.25006258266388176,21.0,Difficult
OO,5930,2025-08-14,ORD,FAR,100.0,53,0,21,0.05388690570928356,0.060000000000000005,0.5449591280653951,0.07450898592505556,0.18230765091414497,275.0,Medium
YX,3628,2025-08-11,ORD,IND,-5.0,76,0,21,0.046310104496995366,0.060000000000000005,0.5122615803814714,0.04429937549427507,0.16581830154332147,435.0,Easy
OO,5564,2025-08-01,ORD,SBN,9.0,55,0,33,0.04715672676837726,0.09428571428571429,0.5667574931880109,0.09101250269937351,0.1976103204388192,262.0,Medium
UA,2361,2025-08-13,ORD,LAX,-3.0,143,0,30,0.057792173342069895,0.08571428571428572,0.30033303057826227,0.054649692595446,0.12477941959484716,496.0,Easy
YX,3520,2025-08-05,ORD,CVG,0.0,71,0,12,0.050848160368715374,0.03428571428571429,0.4764090061666429,0.03013954803105318,0.14895603782991454,454.0,Easy
G7,4546,2025-08-06,ORD,AVP,39.0,46,0,20,0.04433732748232192,0.05714285714285714,0.4686648501362399,0.06696421945531456,0.15814596895553373,385.0,Easy
OO,5362,2025-08-14,ORD,MKE,-5.0,60,0,38,0.04865737477547123,0.10857142857142857,0.6212534059945504,0.09208442243328609,0.2154703055607933,71.0,Difficult
OO,5251,2025-08-03,ORD,ASE,8.0,73,0,15,0.04720220095041041,0.04285714285714286,0.5356169715842741,0.05348063343453727,0.16947531558238482,450.0,Easy
G7,4429,2025-08-07,ORD,FSD,-1.0,50,0,18,0.04715672676837726,0.05142857142857143,0.5122615803814714,0.08265152973529533,0.17159986193008295,390.0,Easy
UA,1899,2025-08-01,ORD,YYC,74.0,178,0,36,0.046339940498781824,0.10285714285714286,0.7371653475195711,0.04544989866135053,0.23299758447608312,66.0,Difficult
UA,2137,2025-08-03,ORD,SLC,-2.0,180,0,46,0.046323033431102834,0.13142857142857142,0.5582219887725288,0.058676262473710966,0.19804480257434812,225.0,Medium
UA,1576,2025-08-10,ORD,LGA,0.0,170,0,13,0.04663332784968198,0.037142857142857144,0.5253931256360593,0.017522956866102106,0.15812858542285416,464.0,Easy
UA,2004,2025-08-11,ORD,SYR,8.0,171,0,64,0.046972852901895394,0.18285714285714286,0.5885558583106266,0.04843660939462026,0.21663242804143504,79.0,Difficult
UA,343,2025-08-02,ORD,SFO,-1.0,274,0,34,0.06751522468279925,0.09714285714285714,0.7138964577656677,0.06488739773103773,0.23599187567817853,116.0,Difficult
UA,2370,2025-08-11,ORD,BOS,0.0,201,0,56,0.04642507966102246,0.16,0.5792397972386708,0.06903015262544888,0.21254350373306422,96.0,Difficult
UA,2189,2025-08-01,ORD,LGA,-4.0,186,0,5,0.046674700438825864,0.014285714285714285,0.5779193066544106,0.05671107654264859,0.1733958806752087,439.0,Easy
UA,481,2025-08-12,ORD,RNO,129.0,77,0,49,0.047478218659960464,0.14,0.30033303057826227,0.12179190874214475,0.14868510499098267,354.0,Easy
UA,1209,2025-08-15,ORD,EWR,5.0,218,0,52,0.04614249010124503,0.14857142857142858,0.6309956920828703,0.05049099263946748,0.21883272572184176,75.0,Difficult
UA,2177,2025-08-15,ORD,MSN,30.0,138,0,65,0.04484071610203773,0.18571428571428572,0.5641624497210329,0.03620478838052023,0.20816235636554503,102.0,Difficult
UA,909,2025-08-13,ORD,AMS,34.0,262,0,123,0.048451544267321185,0.3514285714285714,0.554871553357778,0.06323669408569603,0.25375783329392293,16.0,Difficult
UA,1584,2025-08-05,ORD,LAX,0.0,265,0,13,0.05968779773670596,0.037142857142857144,0.6893732970027248,0.03446368857906697,0.20642811557322066,143.0,Difficult
YX,3690,2025-08-13,ORD,IND,-9.0,68,0,34,0.046775546124864086,0.09714285714285714,0.45489746163774564,0.047174144304339166,0.16147757239347776,421.0,Easy
YX,3542,2025-08-15,ORD,YUL,-5.0,83,0,32,0.04622883691117702,0.09142857142857143,0.5624551842822315,0.040373988306903794,0.1854143876624346,221.0,Medium
OO,4791,2025-08-14,ORD,SBN,-8.0,59,0,12,0.04711125258634411,0.03428571428571429,0.6103542234332425,0.06670354663615019,0.18863406953287246,219.0,Medium
UA,2011,2025-08-11,ORD,YVR,12.0,162,0,68,0.04603730398732787,0.19428571428571428,0.5558583106267031,0.09273948540329578,0.21989509450496186,70.0,Difficult
UA,1946,2025-08-15,ORD,LGA,-1.0,196,0,11,0.0472797745550552,0.03142857142857143,0.6107481697908802,0.049191232391017484,0.18456636414958297,228.0,Medium
OO,5292,2025-08-02,ORD,MTY,-4.0,87,0,8,0.06830222141379233,0.022857142857142857,0.5911372436540944,0.0953371444604339,0.1930566919440338,361.0,Medium
UA,845,2025-08-12,ORD,GRU,115.0,260,0,216,0.04711712022273548,0.6171428571428571,0.41286651928778306,0.141969913015383,0.3000314627775573,2.0,Difficult
YX,3525,2025-08-13,ORD,YYZ,-2.0,90,0,22,0.04638583111105337,0.06285714285714286,0.6126487881829915,0.0429547746895807,0.19138318703126575,214.0,Medium
UA,2677,2025-08-06,ORD,IAD,194.0,160,0,31,0.04706167827314404,0.08857142857142858,0.4627198414664355,0.11271887578864248,0.1744850961491377,274.0,Medium
UA,767,2025-08-13,ORD,DEN,38.0,202,0,55,0.04503264239469977,0.15714285714285714,0.5177111716621253,0.036280925677083464,0.18947948505507226,237.0,Medium
OO,5026,2025-08-13,ORD,JST,13.0,53,0,11,0.0463836656738137,0.03142857142857143,0.5449591280653951,0.06116055329169741,0.17024413523397525,366.0,Easy
OO,5493,2025-08-05,ORD,ATW,-4.0,53,0,27,0.04938496168800165,0.07714285714285714,0.5449591280653951,0.05782344513335787,0.18190567383513512,290.0,Medium
G7,4519,2025-08-06,ORD,SCE,-12.0,43,0,12,0.04774789113480822,0.03428571428571429,0.43596730245231613,0.07179273477363293,0.14624616847967664,425.0,Easy
OO,4791,2025-08-04,ORD,SBN,-5.0,45,0,13,0.04711125258634411,0.037142857142857144,0.457765667574932,0.08815405009148691,0.1554913169736479,500.0,Easy
UA,592,2025-08-03,ORD,JAC,9.0,161,0,64,0.046312810552971345,0.18285714285714286,0.6636391159551922,0.05488015791547432,0.23649393945207003,31.0,Difficult
G7,4590,2025-08-01,ORD,MDT,-9.0,55,0,19,0.04647461403788,0.054285714285714284,0.5667574931880109,0.08136522638046378,0.18547623135588806,350.0,Medium
YX,3464,2025-08-13,ORD,PIT,15.0,76,0,26,0.04936630561332138,0.07428571428571429,0.5122615803814714,0.03033621233096639,0.1675139578169861,384.0,Easy
OO,5963,2025-08-14,ORD,BDL,13.0,74,0,24,0.046853119729508876,0.06857142857142857,0.5434021019852083,0.040777136122465474,0.17520474578250497,328.0,Medium
OO,5447,2025-08-10,ORD,PVD,-6.0,67,0,31,0.047318561357377595,0.08857142857142858,0.48890618917866885,0.04791173602498844,0.16814732004973532,420.0,Easy
UA,1495,2025-08-05,ORD,TVC,6.0,74,0,10,0.0461988032381572,0.02857142857142857,0.23614895549500456,0.16028168567585246,0.11209607412322595,507.0,Easy
UA,2100,2025-08-08,ORD,SLC,0.0,191,0,59,0.046323033431102834,0.16857142857142857,0.5943337382226455,0.07646582528986129,0.21991636678582163,86.0,Difficult
UA,2640,2025-08-05,ORD,DCA,-1.0,59,0,10,0.0476417847100642,0.02857142857142857,0.22248172656892004,0.09967870019623473,0.09699156423735336,520.0,Easy
UA,224,2025-08-01,ORD,BZN,6.0,196,0,52,0.04909241111692171,0.14857142857142858,0.6107481697908802,0.0591174266925172,0.21638110826415716,130.0,Difficult
OO,5392,2025-08-15,ORD,OKC,4.0,70,0,28,0.050144030726555,0.08,0.46923849132367706,0.05839552109550997,0.16403193626798776,380.0,Easy
OO,5984,2025-08-05,ORD,BIL,10.0,100,0,32,0.047590068973634346,0.09142857142857143,0.6843539366126489,0.04020351443375089,0.21626335058914556,93.0,Difficult
OO,5737,2025-08-13,ORD,OMA,7.0,50,0,21,0.046387678101640156,0.060000000000000005,0.3258281944643626,0.043740848653106124,0.11912152177720393,504.0,Easy
G7,4552,2025-08-03,ORD,DAY,-7.0,44,0,32,0.047929787862940824,0.09142857142857143,0.446866485013624,0.07412976879412572,0.16377865422825624,490.0,Easy
G7,4476,2025-08-07,ORD,CAE,65.0,55,0,8,0.04956685841613425,0.022857142857142857,0.5667574931880109,0.06207067374264433,0.17468785128465758,365.0,Medium
G7,4482,2025-08-02,ORD,TUL,-1.0,52,0,38,0.0463836656738137,0.10857142857142857,0.5340599455040872,0.04877474799319435,0.18432789281966191,417.0,Medium
OO,5557,2025-08-12,ORD,OKC,16.0,81,0,27,0.04739613496202238,0.07714285714285714,0.5481141545963001,0.037059216848927004,0.1779449367931814,206.0,Medium
UA,2683,2025-08-11,ORD,SAN,-4.0,188,0,22,0.04702119587290591,0.06285714285714286,0.5844850792817046,0.06266935307257755,0.18847578491109912,229.0,Medium
OO,5557,2025-08-13,ORD,OKC,-3.0,86,0,44,0.04739613496202238,0.12571428571428572,0.5839667288111287,0.03477411695888857,0.19859391751173802,171.0,Medium
YX,3716,2025-08-13,ORD,CMH,7.0,84,0,33,0.046387678101640156,0.09428571428571429,0.5696256991251972,0.056711076157761955,0.19123637201477234,217.0,Medium
UA,1616,2025-08-04,ORD,GRR,1.0,161,0,89,0.04663702183085554,0.2542857142857143,0.45746122113467197,0.09113234575900374,0.210154309556154,80.0,Difficult
YX,3440,2025-08-15,ORD,YYZ,-5.0,72,0,18,0.06148867313915858,0.05142857142857143,0.4835795210096085,0.05671107604078661,0.16354084025944987,385.0,Easy
OO,5836,2025-08-10,ORD,TYS,91.0,53,0,16,0.04661103658397945,0.045714285714285714,0.5449591280653951,0.054486336975018326,0.1725489318151177,379.0,Easy
OO,5493,2025-08-06,ORD,ATW,-7.0,54,0,31,0.04929401332393534,0.08857142857142858,0.5558583106267031,0.05671107576784412,0.18723785395028233,204.0,Medium
UA,1775,2025-08-10,ORD,FLL,-1.0,246,0,28,0.04633088314109665,0.08,0.7162406953556696,0.047364460542185974,0.2224323308896836,56.0,Difficult
UA,2653,2025-08-05,ORD,RDU,-6.0,187,0,46,0.04618958836120793,0.13142857142857142,0.5366172956022711,0.04410025766496446,0.1896883947990659,246.0,Medium
G7,4552,2025-08-15,ORD,DAY,5.0,41,0,16,0.04815715877310658,0.045714285714285714,0.4141689373297003,0.07971812991471786,0.14536157937587205,474.0,Easy
UA,1599,2025-08-11,ORD,DEN,-1.0,432,0,52,0.04720220095041041,0.14857142857142858,0.6140671317783035,0.03583097602567942,0.21198649557769206,100.0,Difficult
UA,2666,2025-08-07,ORD,DEN,-4.0,236,0,55,0.054561683894291606,0.15714285714285714,0.6103542234332425,0.027732910991664524,0.2137893575106453,112.0,Difficult
YX,3536,2025-08-11,ORD,YUL,-5.0,67,0,32,0.06764284577431165,0.09142857142857143,0.4477269467947799,0.03735252807935849,0.16255223890400303,458.0,Easy
YX,3409,2025-08-07,ORD,YOW,-3.0,83,0,25,0.04613464039125121,0.07142857142857142,0.5624551842822315,0.059552308817549734,0.18422179280858603,284.0,Medium
G7,4590,2025-08-14,ORD,MDT,66.0,60,0,15,0.043655214751824656,0.04285714285714286,0.6212534059945504,0.0743977491551536,0.1940037514695014,177.0,Medium
UA,763,2025-08-01,ORD,PWM,-3.0,232,0,28,0.04660746998146705,0.08,0.7289320770821707,0.031299189397629226,0.2224750981445086,106.0,Difficult
UA,2195,2025-08-08,ORD,BDL,-5.0,156,0,32,0.04619374409002819,0.09142857142857143,0.47943271724500186,0.09412519341532387,0.17539848407846653,355.0,Medium
UA,1989,2025-08-12,ORD,BOS,132.0,172,0,58,0.04621313749118938,0.16571428571428573,0.4909503295632716,0.045057066866020595,0.1870415084399503,160.0,Medium
OO,5930,2025-08-10,ORD,FAR,5.0,49,0,16,0.049430435870034796,0.045714285714285714,0.5013623978201635,0.08077457662508918,0.16775321696964057,424.0,Easy
UA,1793,2025-08-12,ORD,MSP,39.0,134,0,10,0.046800841865509125,0.02857142857142857,0.4541326067211626,0.047911736399288724,0.14429860866265828,368.0,Easy
UA,2677,2025-08-05,ORD,IAD,-4.0,204,0,48,0.04722381982383601,0.13714285714285715,0.5989596234827843,0.08792285331098848,0.2157773367657589,95.0,Difficult
OO,5521,2025-08-01,ORD,ATW,61.0,47,0,18,0.043291421295559455,0.05142857142857143,0.4795640326975477,0.0955966691580446,0.16485491125180657,496.0,Easy
UA,2487,2025-08-15,ORD,PHL,69.0,99,0,31,0.04463534578243203,0.08857142857142858,0.2687044281734736,0.09601479491800786,0.12191252690455673,525.0,Easy
YX,3614,2025-08-09,ORD,MCI,8.0,99,0,50,0.048249444613115026,0.14285714285714285,0.677183421769683,0.03884574960323742,0.22725412446128845,133.0,Difficult
YX,3708,2025-08-15,ORD,BNA,-4.0,70,0,4,0.0461161704853834,0.011428571428571429,0.5122615803814714,0.007862168751956786,0.14632982284851706,469.0,Easy
UA,1657,2025-08-08,ORD,LGA,-5.0,190,0,7,0.06615601835195324,0.02,0.5910508519089984,0.02102743707248644,0.17681500589733284,342.0,Medium
OO,5915,2025-08-10,ORD,LNK,64.0,56,0,15,0.04652008821991315,0.04285714285714286,0.5776566757493189,0.10198053711959232,0.18948058854150784,250.0,Medium
OO,5790,2025-08-01,ORD,CRW,54.0,54,0,27,0.044246379118255616,0.07714285714285714,0.5558583106267031,0.09601479409090943,0.19072716449604865,306.0,Medium
UA,2427,2025-08-12,ORD,CVG,11.0,88,0,29,0.04698752050964926,0.08285714285714287,0.3479088274728602,0.11231690535139964,0.14425112980567548,369.0,Easy
UA,265,2025-08-15,ORD,YYZ,4.0,109,0,26,0.046314579897263335,0.07428571428571429,0.43873534881709275,0.1405469900389309,0.17025903775266693,338.0,Easy
UA,1996,2025-08-08,ORD,SJU,-1.0,223,0,43,0.048520952229371785,0.12285714285714286,0.5749318801089919,0.08737855230910116,0.20647925187216545,150.0,Difficult
OO,5229,2025-08-14,ORD,ILM,-6.0,76,0,26,0.04607738368306101,0.07428571428571429,0.5122615803814714,0.03499060005206929,0.16745815878212858,406.0,Easy
UA,1361,2025-08-13,ORD,STL,7.0,137,0,67,0.04668083416570475,0.19142857142857142,0.5598373772760693,0.05972340523966274,0.21376541847380418,105.0,Difficult
UA,1030,2025-08-09,ORD,ABQ,39.0,133,0,72,0.04695685187525481,0.2057142857142857,0.5425370874962155,0.054937976322110685,0.21213749412962388,196.0,Difficult
OO,5020,2025-08-03,ORD,FOD,-10.0,30,0,7,0.047293149314476715,0.02,0.29427792915531337,0.15103999747231941,0.12296542657763525,544.0,Easy
YX,3718,2025-08-10,ORD,MSN,-4.0,76,0,49,0.046694988920040655,0.14,0.5122615803814714,0.04662656935482651,0.18639920564234536,282.0,Medium
OO,5538,2025-08-09,ORD,HSV,-10.0,20,0,16,0.048839271503603836,0.045714285714285714,0.18528610354223435,0.1834655615133019,0.10909499106787156,508.0,Easy
UA,1778,2025-08-10,ORD,OMA,11.0,144,0,31,0.0464661537249436,0.08857142857142858,0.5901128843908136,0.11321017219353142,0.20625295879674987,121.0,Difficult
UA,2137,2025-08-07,ORD,SLC,-1.0,228,0,40,0.06931067827417456,0.11428571428571428,0.7158005318275829,0.04585083848986497,0.23748493270854965,22.0,Difficult
UA,2137,2025-08-13,ORD,SLC,16.0,163,0,32,0.046323033431102834,0.09142857142857143,0.5024129214405305,0.06502996176747909,0.17536327560010215,342.0,Medium
UA,2427,2025-08-05,ORD,CVG,-2.0,107,0,43,0.047140863681621514,0.12285714285714286,0.4300852039271658,0.09197422578175257,0.17077269095691414,370.0,Easy
G7,4482,2025-08-11,ORD,TUL,12.0,41,0,22,0.04292762783929425,0.06285714285714286,0.4141689373297003,0.06246283904493434,0.14462737620748592,524.0,Easy
UA,1304,2025-08-05,ORD,LAS,15.0,199,0,43,0.04498858273215383,0.12285714285714286,0.573150868433471,0.06263626031009947,0.2000258297043195,181.0,Difficult
OO,5250,2025-08-15,ORD,BNA,-1.0,74,0,27,0.04708584054344323,0.07714285714285714,0.49792055069554003,0.031216772158194506,0.16413495855427115,378.0,Easy
UA,2666,2025-08-10,ORD,DEN,-4.0,251,0,22,0.05551884208063453,0.06285714285714286,0.6512261580381471,0.02594143215168526,0.2003647642783499,171.0,Difficult
OO,5568,2025-08-02,ORD,MLI,-7.0,47,0,51,0.04783883949887452,0.1457142857142857,0.4795640326975477,0.10312291307149063,0.1912958140669188,373.0,Medium
OO,5849,2025-08-09,ORD,PWM,-2.0,88,0,17,0.04910275426420768,0.04857142857142857,0.5983077584970601,0.015844141504533543,0.17961945134729118,357.0,Medium
UA,763,2025-08-12,ORD,PWM,-2.0,218,0,40,0.0499689928494078,0.11428571428571428,0.6829716686911133,0.03345337138591904,0.22099571787621303,39.0,Difficult
YX,3465,2025-08-05,ORD,GSP,16.0,81,0,38,0.04704705374112084,0.10857142857142857,0.5481141545963001,0.05234399629113623,0.18875431117249566,257.0,Medium
UA,476,2025-08-07,ORD,CVG,-2.0,135,0,45,0.046456819792736595,0.1285714285714286,0.457765667574932,0.07505281184413362,0.17553188234323783,355.0,Medium
UA,2254,2025-08-08,ORD,PDX,-7.0,251,0,59,0.05594424571900917,0.16857142857142857,0.6512261580381471,0.047785530899725565,0.23128977654804178,56.0,Difficult
UA,2427,2025-08-15,ORD,CVG,29.0,77,0,33,0.046742171434493655,0.09428571428571429,0.30033303057826227,0.12868282043430576,0.1384139017332034,493.0,Easy
UA,1491,2025-08-03,ORD,DFW,0.0,168,0,21,0.04912299085672371,0.060000000000000005,0.5776566757493189,0.10513887290815811,0.19517884077597847,253.0,Medium
YX,3628,2025-08-04,ORD,IND,1.0,76,0,22,0.046853119729508876,0.06285714285714286,0.5122615803814714,0.04429937549427507,0.16669549182736126,423.0,Easy
UA,2369,2025-08-08,ORD,AUS,-6.0,188,0,38,0.04640060703574762,0.10857142857142857,0.5844850792817046,0.057024670047418305,0.19858924308349124,198.0,Medium
OO,5577,2025-08-11,ORD,JAX,-1.0,80,0,26,0.0695821858904313,0.07428571428571429,0.5409436397533343,0.04197218166281355,0.18307643060945422,268.0,Medium
UA,422,2025-08-03,ORD,ATH,37.0,344,0,132,0.04613869185447382,0.37714285714285717,0.556817987078642,0.0712785887941146,0.26158753637053983,9.0,Difficult
UA,1041,2025-08-05,ORD,GRR,-5.0,125,0,43,0.046312810552971345,0.12285714285714286,0.507936507936508,0.05152298551475379,0.18189685296725489,291.0,Medium
UA,1044,2025-08-15,ORD,LAX,64.0,272,0,75,0.06422608109700265,0.2142857142857143,0.6007592165630313,0.045873654150288504,0.2322037878713449,39.0,Difficult
UA,944,2025-08-08,ORD,FRA,-4.0,382,0,179,0.04613869185447382,0.5114285714285715,0.6219388891745069,0.058408750429474784,0.3088652227930067,4.0,Difficult
UA,1485,2025-08-15,ORD,SEA,0.0,197,0,69,0.0463073340111152,0.19714285714285715,0.5670619396282709,0.06778395166822909,0.21850018972976237,78.0,Difficult
G7,4491,2025-08-01,ORD,CAE,0.0,47,0,23,0.048202632955139726,0.06571428571428571,0.4795640326975477,0.0730179374177065,0.16538395697304156,494.0,Easy
G7,4173,2025-08-06,ORD,AVL,-6.0,44,0,15,0.04965780678020055,0.04285714285714286,0.446866485013624,0.03795248276265645,0.1449187455542832,429.0,Easy
UA,2008,2025-08-13,ORD,MCO,3.0,229,0,47,0.07047428234384635,0.13428571428571429,0.7190834181412298,0.054908941020365074,0.24546635601396294,26.0,Difficult
OO,5538,2025-08-13,ORD,HSV,0.0,34,0,24,0.04802073622700712,0.06857142857142857,0.33787465940054506,0.10699671419706859,0.13741708570050926,478.0,Easy
UA,2424,2025-08-03,ORD,RDU,0.0,183,0,72,0.046448628791003914,0.2057142857142857,0.5244394379918713,0.03834786363860129,0.2041425922915607,164.0,Difficult
OO,5140,2025-08-01,ORD,CMX,114.0,66,0,15,0.04706577840431096,0.04285714285714286,0.6866485013623979,0.051351477995156686,0.20676644017520981,183.0,Difficult
G7,4425,2025-08-11,ORD,GRR,26.0,52,0,14,0.05093108387712877,0.04,0.5340599455040872,0.05897859793518399,0.17059003112619722,386.0,Easy
UA,1830,2025-08-07,ORD,DSM,18.0,177,0,69,0.04622747174422157,0.19714285714285715,0.6103542234332425,0.06770279450409343,0.22928307056811006,46.0,Difficult
G7,4468,2025-08-04,ORD,LEX,12.0,47,0,29,0.04770241695277507,0.08285714285714287,0.4795640326975477,0.050439205677368384,0.16500386010997883,437.0,Easy
UA,1811,2025-08-10,ORD,MSP,40.0,175,0,78,0.046345012619085524,0.22285714285714286,0.5418075572042941,0.15036622366886865,0.23514292353485863,30.0,Difficult
G7,4518,2025-08-08,ORD,STL,-2.0,54,0,64,0.0465655624019463,0.18285714285714286,0.5558583106267031,0.09929010395116486,0.21850655288177834,94.0,Difficult
OO,5309,2025-08-11,ORD,FWA,23.0,34,0,17,0.044370764380875706,0.04857142857142857,0.21109995697691095,0.11740063952219455,0.10170920360578652,560.0,Easy
OO,5469,2025-08-02,ORD,CVG,-1.0,76,0,32,0.047337457491842344,0.09142857142857143,0.5122615803814714,0.032663406191517835,0.17165645643836697,458.0,Easy
YX,3468,2025-08-13,ORD,BGR,-5.0,73,0,48,0.046387678101640156,0.13714285714285715,0.5356169715842741,0.05348063343453727,0.1928023872991823,208.0,Medium
OO,4748,2025-08-08,ORD,ATW,165.0,37,0,21,0.044564698392487674,0.060000000000000005,0.3705722070844687,0.09335913663401471,0.13968428861566642,509.0,Easy
UA,2323,2025-08-06,ORD,MCO,-7.0,291,0,42,0.060942738469911134,0.12000000000000001,0.7602179836512263,0.03118391901064232,0.24457410125590837,25.0,Difficult
OO,5819,2025-08-01,ORD,DLH,-7.0,60,0,20,0.04706577840431096,0.05714285714285714,0.6212534059945504,0.07144997027546485,0.19800879336073812,260.0,Medium
UA,2040,2025-08-04,ORD,DEN,-1.0,183,0,49,0.04680186574072571,0.14,0.5244394379918713,0.048979197422146695,0.18994625870461487,189.0,Medium
